,NUM,TITLE,TOTAL,LT15,GT65,FRGNPCT,WORK,NOWORK,2NDEDU,3RDEDU,COMTRPCT,HSHDLSCNT,HSHLDSZ,FAMCNT
,4,Oberösterreich,"1,413,762",15.3,17.2,8.4,73.0,3.9,59.7,9.2,64.1,"589,950",2.36,"391,671"
,401,Linz (Stadt),"189,889",13.2,19.2,15.3,68.9,5.5,55.5,14.7,29.3,"100,330",1.85,"46,291"
,402,Steyr (Stadt),"38,205",14.1,19.9,14.0,66.6,9.1,59.3,9.3,40.4,"18,804",2.00,"10,285"
,403,Wels (Stadt),"58,591",15.7,17.3,18.3,68.5,7.3,56.4,9.7,40.1,"26,215",2.20,"15,643"
,404,Braunau am Inn,"97,826",15.0,16.8,9.7,73.1,4.1,58.4,6.2,67.1,"39,028",2.48,"27,930"
,40401,Altheim,"4,784",13.7,19.8,7.4,72.4,3.4,59.9,6.4,63.4,"2,038",2.31,"1,385"
,40402,Aspach,"2,396",16.1,16.1,4.0,76.1,3.3,58.0,5.6,67.0,966,2.48,666
,40403,Auerbach,525,16.8,11.4,8.2,79.3,2.6,62.5,4.6,80.9,200,2.63,154
,40404,Braunau am Inn,"16,197",13.6,20.4,14.8,67.0,7.6,56.0,8.8,34.3,"7,426",2.15,"4,490"
,40405,Burgkirchen,"2,554",15.0,14.3,6.5,74.6,4.5,59.7,6.5,77.7,918,2.78,735
,40406,Eggelsberg,"2,276",17.4,13.6,6.9,76.7,4.0,61.0,7.0,63.0,868,2.62,661
,40407,Feldkirchen bei Mattighofen,"1,891",15.7,15.1,2.7,77.7,2.4,55.5,6.1,72.1,684,2.76,547
,40408,Franking,930,16.6,14.3,8.7,72.0,4.7,61.0,4.8,69.1,352,2.64,269
,40409,Geretsberg,"1,073",15.4,17.0,7.5,74.7,2.3,57.6,3.9,67.1,425,2.44,302
,40410,Gilgenberg am Weilhart,"1,292",14.8,14.6,6.7,74.4,3.1,56.6,4.9,75.3,464,2.76,355
,40411,Haigermoos,590,15.4,14.2,4.1,74.0,4.0,61.3,8.6,85.4,216,2.73,177
,40412,Handenberg,"1,304",16.6,16.6,4.1,72.2,3.3,56.2,4.5,69.2,470,2.77,359
,40413,Helpfau-Uttendorf,"3,366",16.6,14.6,14.8,74.1,5.8,53.3,4.3,74.1,"1,296",2.60,961
,40414,Hochburg-Ach,"3,092",13.4,19.3,18.0,69.9,1.4,62.0,7.2,75.8,"1,236",2.50,915
,40415,Höhnhart,"1,369",15.5,15.9,2.5,77.3,3.2,55.7,3.9,67.3,553,2.48,376
,40416,Jeging,671,20.0,13.0,6.9,75.1,5.0,64.6,3.7,79.9,242,2.77,197
,40417,Kirchberg bei Mattighofen,"1,119",16.0,14.3,4.8,77.7,3.0,61.5,7.3,77.0,398,2.81,317
,40418,Lengau,"4,380",15.0,15.2,6.5,74.6,3.4,63.2,4.4,71.5,"1,713",2.56,"1,276"
,40419,Lochen,"2,488",17.1,14.1,2.7,79.8,2.2,64.4,6.6,71.7,946,2.63,719
,40420,Maria Schmolln,"1,373",14.8,21.8,2.8,77.8,2.0,52.7,5.8,68.1,461,2.76,368
,40421,Mattighofen,"5,730",16.1,16.3,23.5,71.7,5.6,51.8,6.5,56.1,"2,282",2.45,"1,621"
,40422,Mauerkirchen,"2,299",14.0,18.1,14.4,69.6,6.1,53.6,5.3,76.8,960,2.31,621
,40423,Mining,"1,146",15.3,16.5,4.6,74.8,1.8,63.3,8.2,80.3,458,2.50,346
,40424,Moosbach,922,15.2,15.9,4.0,76.7,4.4,56.9,3.8,79.4,358,2.58,267
,40425,Moosdorf,"1,532",15.2,14.2,5.1,77.8,1.8,63.0,5.9,78.4,571,2.68,455
,40426,Munderfing,"2,741",14.9,15.5,7.7,75.0,4.0,60.4,6.0,76.8,"1,076",2.55,791
,40427,Neukirchen an der Enknach,"2,093",14.2,16.0,4.4,73.4,3.1,60.8,5.0,74.3,785,2.67,617
,40428,Ostermiething,"3,156",16.7,16.9,10.4,72.3,4.1,59.5,5.6,75.7,"1,239",2.47,873
,40429,Palting,904,12.5,14.8,3.8,80.2,0.9,61.3,7.2,73.6,338,2.67,254
,40430,Perwang am Grabensee,884,18.7,12.8,5.1,75.9,3.1,63.7,8.5,82.6,334,2.65,263
,40431,Pfaffstätt,"1,000",13.8,15.2,12.0,72.0,3.8,61.8,6.7,76.8,389,2.55,284
,40432,Pischelsdorf am Engelbach,"1,638",16.5,17.1,4.4,77.9,3.7,59.0,4.0,74.1,609,2.69,470
,40433,Polling im Innkreis,942,12.6,19.4,6.6,77.8,2.7,55.7,3.6,75.7,367,2.57,267
,40434,Roßbach,950,15.7,14.7,2.0,77.9,2.4,59.7,3.6,77.2,377,2.52,277
,40435,St. Georgen am Fillmannsbach,398,15.8,14.8,2.0,77.9,1.8,57.6,4.2,77.2,143,2.78,108
,40436,St. Johann am Walde,"2,056",14.7,15.3,3.3,75.7,2.2,55.9,3.4,72.5,756,2.72,580
,40437,St. Pantaleon,"3,093",14.1,17.4,11.1,71.5,4.7,59.2,5.5,76.8,"1,324",2.34,910
,40438,St. Peter am Hart,"2,421",13.9,16.3,10.6,68.1,3.3,61.1,8.3,81.9,916,2.53,713
,40439,St. Radegund,563,13.0,16.9,6.2,70.9,2.4,54.3,8.0,77.3,211,2.67,156
,40440,St. Veit im Innkreis,406,14.3,14.0,3.7,75.3,2.6,62.9,3.4,83.6,147,2.76,116
,40441,Schalchen,"3,688",15.4,14.8,9.8,74.2,3.7,60.0,5.5,81.2,"1,429",2.58,"1,088"
,40442,Schwand im Innkreis,871,16.2,19.2,2.8,80.8,1.5,63.4,5.8,71.2,316,2.76,261
,40443,Tarsdorf,"1,998",14.5,15.0,5.3,76.7,1.8,59.8,4.4,69.9,711,2.81,573
,40444,Treubach,718,14.3,17.4,3.8,72.2,2.2,55.6,3.9,69.6,275,2.61,199
,40445,Überackern,642,12.9,16.8,24.0,69.2,2.2,62.1,7.7,89.7,263,2.44,197
,40446,Weng im Innkreis,"1,365",13.4,17.1,4.1,76.9,3.1,59.7,5.9,70.9,522,2.61,394
,405,Eferding,"31,741",15.7,16.7,5.2,75.3,2.4,60.6,7.6,76.8,"12,219",2.56,"9,045"
,40501,Alkoven,"5,368",14.4,17.3,4.9,73.2,2.3,62.1,9.2,76.9,"2,183",2.39,"1,556"
,40502,Aschach an der Donau,"2,191",15.6,17.9,10.5,71.9,2.4,57.5,9.8,78.2,938,2.34,619
,40503,Eferding,"3,866",16.4,17.9,12.5,74.1,3.1,56.7,9.3,67.1,"1,683",2.23,"1,019"
,40504,Fraham,"2,218",15.5,16.2,4.2,78.4,2.3,64.4,7.8,83.6,870,2.55,685
,40505,Haibach ob der Donau,"1,305",15.5,18.3,1.2,77.1,2.6,58.7,5.5,73.9,464,2.81,365
,40506,Hartkirchen,"4,070",14.4,15.6,3.3,75.7,1.8,62.1,5.5,75.9,"1,470",2.77,"1,176"
,40507,Hinzenbach,"1,989",17.7,14.4,4.1,75.6,2.6,61.5,5.9,80.7,724,2.75,598
,40508,Prambachkirchen,"2,826",17.2,15.4,2.9,77.6,2.3,58.7,7.0,72.1,"1,048",2.67,792
,40509,Pupping,"1,931",14.9,21.3,2.0,76.3,1.9,61.0,6.8,80.0,689,2.62,521
,40510,St. Marienkirchen an der Polsenz,"2,244",16.0,15.8,3.0,75.7,2.5,63.3,5.9,78.9,825,2.72,651
