GKZ,NAME,TOTAL,AUT,NONAUT,NONAUTPCT,AUTB,NONAUTB,NONAUTBPCT
1,BURGENLAND,288356,267388,20968,7,259446,28910,10
101,Eisenstadt (Stadt),13664,12178,1486,11,11520,2144,16
102,Rust (Stadt),1929,1819,110,6,1755,174,9
103,Eisenstadt-Umgebung,41649,38846,2803,7,37590,4059,10
10301,Breitenbrunn am Neusiedler See,1910,1797,113,6,1744,166,9
10302,Donnerskirchen,1739,1666,73,4,1631,108,6
10303,Großhöflein,2048,1958,90,4,1909,139,7
10304,Hornstein,2859,2590,269,9,2465,394,14
10305,Klingenbach,1177,1011,166,14,967,210,18
10306,Leithaprodersdorf,1173,1148,25,2,1128,45,4
10307,Mörbisch am See,2261,2155,106,5,2102,159,7
10308,Müllendorf,1375,1299,76,6,1234,141,10
10309,Neufeld an der Leitha,3253,2993,260,8,2841,412,13
10310,Oggau am Neusiedler See,1762,1712,50,3,1689,73,4
10311,Oslip,1265,1189,76,6,1135,130,10
10312,Purbach am Neusiedler See,2754,2635,119,4,2573,181,7
10313,Sankt Margarethen im Burgenland,2682,2590,92,3,2519,163,6
10314,Schützen am Gebirge,1383,1298,85,6,1280,103,7
10315,Siegendorf,2974,2590,384,13,2470,504,17
10316,Steinbrunn,2498,2323,175,7,2229,269,11
10317,Trausdorf an der Wulka,1999,1875,124,6,1827,172,9
10318,Wimpassing an der Leitha,1412,1299,113,8,1251,161,11
10319,Wulkaprodersdorf,1895,1710,185,10,1678,217,11
10320,Loretto,467,452,15,3,430,37,8
10321,Stotzing,836,777,59,7,775,61,7
10322,Zillingtal,928,859,69,7,831,97,10
10323,Zagersdorf,999,920,79,8,882,117,12
104,Güssing,26272,24448,1824,7,23944,2328,9
10401,Bocksdorf,805,788,17,2,777,28,3
10402,Burgauberg-Neudauberg,1382,1323,59,4,1285,97,7
10403,Eberau,928,838,90,10,818,110,12
10404,Gerersdorf-Sulz,1018,961,57,6,953,65,6
10405,Güssing,3713,3392,321,9,3284,429,12
10406,Güttenbach,914,836,78,9,826,88,10
10407,Heiligenbrunn,814,783,31,4,773,41,5
10408,Kukmirn,2029,1918,111,5,1883,146,7
10409,Neuberg im Burgenland,966,925,41,4,912,54,6
10410,Neustift bei Güssing,489,465,24,5,447,42,9
10411,Olbendorf,1462,1406,56,4,1378,84,6
10412,Ollersdorf im Burgenland,994,945,49,5,925,69,7
10413,Sankt Michael im Burgenland,995,944,51,5,920,75,8
10414,Stegersbach,2550,2349,201,8,2272,278,11
10415,Stinatz,1333,1118,215,16,1111,222,17
10416,Strem,927,857,70,8,837,90,10
10417,Tobaj,1434,1245,189,13,1241,193,13
10418,Hackerberg,359,348,11,3,342,17,5
10419,Wörterberg,485,474,11,2,467,18,4
10420,Großmürbisch,248,234,14,6,230,18,7
10421,Inzenhof,340,320,20,6,316,24,7
10422,Kleinmürbisch,244,241,3,1,235,9,4
10423,Tschanigraben,58,54,4,7,54,4,7
10424,Heugraben,208,202,6,3,199,9,4
10425,Rohr im Burgenland,376,369,7,2,364,12,3
10426,Bildein,340,308,32,9,306,34,10
10427,Rauchwart,443,420,23,5,412,31,7
10428,Moschendorf,418,385,33,8,377,41,10
105,Jennersdorf,17215,16428,787,5,16086,1129,7
10501,Deutsch Kaltenbrunn,1699,1652,47,3,1620,79,5
10502,Eltendorf,952,887,65,7,862,90,9
10503,Heiligenkreuz im Lafnitztal,1236,1140,96,8,1117,119,10
10504,Jennersdorf,4078,3878,200,5,3785,293,7
10505,Minihof-Liebau,1082,1039,43,4,1019,63,6
10506,Mogersdorf,1154,1063,91,8,1050,104,9
10507,Neuhaus am Klausenbach,952,921,31,3,898,54,6
10508,Rudersdorf,2177,2094,83,4,2037,140,6
10509,Sankt Martin an der Raab,2018,1953,65,3,1931,87,4
10510,Weichselbaum,744,712,32,4,700,44,6
10511,Königsdorf,720,693,27,4,680,40,6
10512,Mühlgraben,403,396,7,2,387,16,4
106,Mattersburg,39364,36467,2897,7,35112,4252,11
10601,Draßburg,1193,1073,120,10,1021,172,14
10602,Forchtenstein,2781,2663,118,4,2596,185,7
10603,Hirm,956,860,96,10,852,104,11
10604,Loipersbach im Burgenland,1221,1128,93,8,1101,120,10
10605,Marz,2050,1915,135,7,1853,197,10
10606,Mattersburg,7182,6538,644,9,6205,977,14
10607,Neudörfl,4381,3909,472,11,3659,722,16
10608,Pöttelsdorf,713,694,19,3,647,66,9
10609,Pöttsching,2896,2726,170,6,2617,279,10
10610,Rohrbach bei Mattersburg,2720,2521,199,7,2469,251,9
10611,Bad Sauerbrunn,2158,1996,162,8,1862,296,14
10612,Schattendorf,2401,2257,144,6,2224,177,7
10613,Sieggraben,1269,1212,57,4,1193,76,6
10614,Sigleß,1189,1128,61,5,1084,105,9
10615,Wiesen,2718,2605,113,4,2551,167,6
10616,Antau,763,708,55,7,691,72,9
10617,Baumgarten,873,796,77,9,776,97,11
10618,Zemendorf-Stöttera,1287,1154,133,10,1139,148,11
10619,Krensdorf,613,584,29,5,572,41,7
107,Neusiedl am See,57031,51536,5495,10,50060,6971,12
10701,Andau,2333,2218,115,5,2184,149,6
10702,Apetlon,1774,1729,45,3,1709,65,4
10703,Bruckneudorf,2956,2726,230,8,2627,329,11
10704,Deutsch Jahrndorf,606,521,85,14,511,95,16
10705,Frauenkirchen,2831,2656,175,6,2562,269,10
10706,Gattendorf,1280,1102,178,14,1065,215,17
10707,Gols,3772,3519,253,7,3436,336,9
10708,Halbturn,1881,1824,57,3,1780,101,5
10709,Illmitz,2351,2267,84,4,2237,114,5
10710,Jois,1526,1398,128,8,1376,150,10
10711,Kittsee,2872,1712,1160,40,1699,1173,41
10712,Mönchhof,2296,2178,118,5,2134,162,7
10713,Neusiedl am See,7588,6737,851,11,6439,1149,15
10714,Nickelsdorf,1693,1448,245,14,1398,295,17
10715,Pama,1131,975,156,14,947,184,16
10716,Pamhagen,1675,1619,56,3,1587,88,5
10717,Parndorf,4384,3745,639,15,3492,892,20
10718,Podersdorf am See,2059,1951,108,5,1909,150,7
10719,Sankt Andrä am Zicksee,1345,1307,38,3,1278,67,5
10720,Tadten,1227,1170,57,5,1163,64,5
10721,Wallern im Burgenland,1765,1681,84,5,1656,109,6
10722,Weiden am See,2302,2161,141,6,2117,185,8
10723,Winden am See,1342,1267,75,6,1240,102,8
10724,Zurndorf,2091,1907,184,9,1849,242,12
10725,Neudorf,723,675,48,7,645,78,11
10726,Potzneusiedl,554,487,67,12,477,77,14
10727,Edelstal,674,556,118,18,543,131,19
108,Oberpullendorf,37622,35566,2056,5,34591,3031,8
10801,Deutschkreutz,3121,2965,156,5,2927,194,6
10802,Draßmarkt,1411,1346,65,5,1314,97,7
10803,Frankenau-Unterpullendorf,1133,1081,52,5,1014,119,11
10804,Großwarasdorf,1416,1305,111,8,1229,187,13
10805,Horitschon,1924,1762,162,8,1762,162,8
10806,Kaisersdorf,631,587,44,7,576,55,9
10807,Kobersdorf,1910,1854,56,3,1803,107,6
10808,Lackenbach,1147,1079,68,6,1028,119,10
10809,Lockenhaus,2019,1912,107,5,1895,124,6
10810,Lutzmannsburg,865,804,61,7,768,97,11
10811,Mannersdorf an der Rabnitz,1796,1703,93,5,1655,141,8
10812,Markt Sankt Martin,1162,1108,54,5,1082,80,7
10813,Neckenmarkt,1681,1633,48,3,1606,75,4
10814,Neutal,1093,1028,65,6,993,100,9
10815,Nikitsch,1419,1334,85,6,1294,125,9
10816,Oberpullendorf,3119,2775,344,11,2620,499,16
10817,Pilgersdorf,1663,1626,37,2,1614,49,3
10818,Piringsdorf,848,833,15,2,825,23,3
10819,Raiding,826,819,7,1,804,22,3
10820,Ritzing,899,853,46,5,827,72,8
10821,Steinberg-Dörfl,1295,1238,57,4,1180,115,9
10822,Stoob,1394,1305,89,6,1262,132,9
10823,Weppersdorf,1797,1741,56,3,1695,102,6
10824,Lackendorf,572,543,29,5,535,37,6
10825,Unterfrauenhaid,678,593,85,13,581,97,14
10826,Unterrabnitz-Schwendgraben,646,631,15,2,615,31,5
10827,Weingraben,361,330,31,9,327,34,9
10828,Oberloisdorf,796,778,18,2,760,36,5
109,Oberwart,53610,50100,3510,7,48788,4822,9
10901,Bad Tatzmannsdorf,1483,1361,122,8,1313,170,11
10902,Bernstein,2186,2038,148,7,1994,192,9
10903,Deutsch Schützen-Eisenberg,1127,1079,48,4,1046,81,7
10904,Grafenschachen,1264,1231,33,3,1217,47,4
10905,Großpetersdorf,3498,3272,226,6,3188,310,9
10906,Hannersdorf,769,734,35,5,706,63,8
10907,Kemeten,1485,1417,68,5,1358,127,9
10908,Kohfidisch,1437,1374,63,4,1353,84,6
10909,Litzelsdorf,1149,1099,50,4,1087,62,5
10910,Loipersdorf-Kitzladen,1278,1235,43,3,1229,49,4
10911,Mariasdorf,1160,1126,34,3,1100,60,5
10912,Markt Allhau,1877,1762,115,6,1727,150,8
10913,Markt Neuhodis,642,621,21,3,601,41,6
10914,Mischendorf,1631,1597,34,2,1571,60,4
10915,Oberdorf im Burgenland,1000,974,26,3,959,41,4
10916,Oberschützen,2404,2224,180,7,2186,218,9
10917,Oberwart,7311,6552,759,10,6234,1077,15
10918,Pinkafeld,5550,5149,401,7,4995,555,10
10919,Rechnitz,3149,2835,314,10,2765,384,12
10920,Riedlingsdorf,1629,1544,85,5,1504,125,8
10921,Rotenturm an der Pinka,1436,1304,132,9,1281,155,11
10922,Schachendorf,761,654,107,14,606,155,20
10923,Stadtschlaining,1991,1908,83,4,1857,134,7
10924,Unterkohlstätten,1025,995,30,3,992,33,3
10925,Unterwart,905,788,117,13,768,137,15
10926,Weiden bei Rechnitz,803,769,34,4,756,47,6
10927,Wiesfleck,1128,1113,15,1,1104,24,2
10928,Wolfau,1426,1319,107,8,1299,127,9
10929,Neustift an der Lafnitz,785,777,8,1,772,13,2
10930,Jabing,746,708,38,5,692,54,7
10931,Badersdorf,293,290,3,1,283,10,3
10932,Schandorf,282,251,31,11,245,37,13
2,KÄRNTEN,557641,509359,48282,9,496133,61508,11
201,Klagenfurt (Stadt),97880,84592,13288,14,80626,17254,18
202,Villach (Stadt),60500,51266,9234,15,49694,10806,18
203,Hermagor,18477,17168,1309,7,16919,1558,8
20302,Dellach,1229,1168,61,5,1158,71,6
20305,Hermagor-Pressegger See,6914,6340,574,8,6225,689,10
20306,Kirchbach,2673,2494,179,7,2467,206,8
20307,Kötschach-Mauthen,3431,3195,236,7,3139,292,9
20316,Sankt Stefan im Gailtal,1596,1511,85,5,1481,115,7
20320,Gitschtal,1266,1140,126,10,1139,127,10
20321,Lesachtal,1368,1320,48,4,1310,58,4
204,Klagenfurt Land,58684,54595,4089,7,52950,5734,10
20402,Ebenthal in Kärnten,7696,7238,458,6,6961,735,10
20403,Feistritz im Rosental,2487,2294,193,8,2219,268,11
20405,Ferlach,7171,6448,723,10,6206,965,13
20409,Grafenstein,2840,2669,171,6,2628,212,7
20412,Keutschach am See,2456,2286,170,7,2217,239,10
20414,Köttmannsdorf,2896,2704,192,7,2624,272,9
20415,Krumpendorf am Wörther See,3422,3095,327,10,2967,455,13
20416,Ludmannsdorf,1806,1723,83,5,1700,106,6
20417,Maria Rain,2432,2270,162,7,2161,271,11
20418,Maria Saal,3843,3678,165,4,3587,256,7
20419,Maria Wörth,1528,1386,142,9,1322,206,13
20421,Moosburg,4489,4275,214,5,4190,299,7
20424,Pörtschach am Wörther See,2681,2400,281,10,2304,377,14
20425,Poggersdorf,3106,2986,120,4,2915,191,6
20428,Sankt Margareten im Rosental,1071,1003,68,6,990,81,8
20432,Schiefling am Wörthersee,2616,2315,301,12,2259,357,14
20435,Techelsberg am Wörther See,2192,2040,152,7,1994,198,9
20441,Zell,615,607,8,1,589,26,4
